Draw Date,Winning Numbers,Cash Ball
6/16/14,09 36 44 53 59,3
6/19/14,08 13 43 56 60,2
6/23/14,05 16 21 33 47,4
6/26/14,15 22 51 52 58,3
6/30/14,01 04 10 28 33,2
7/3/14,08 10 25 28 31,2
7/7/14,11 13 23 54 55,2
7/10/14,11 12 31 54 59,3
7/14/14,09 19 34 37 49,2
7/17/14,08 09 22 46 51,1
7/21/14,04 06 11 24 31,3
7/24/14,05 20 35 43 48,3
7/28/14,06 15 31 51 53,2
7/31/14,13 25 26 32 58,1
8/4/14,17 21 36 48 60,3
8/7/14,03 18 38 40 49,2
8/11/14,05 10 33 48 57,3
8/14/14,03 11 34 46 60,2
8/18/14,06 10 29 44 57,2
8/21/14,11 24 40 43 47,2
8/25/14,06 08 34 40 59,4
8/28/14,12 24 27 38 49,2
9/1/14,09 21 27 45 53,2
9/4/14,03 21 28 32 56,3
9/8/14,01 17 23 44 45,2
9/11/14,12 44 56 58 59,2
9/15/14,03 05 09 32 56,1
9/18/14,05 10 11 24 28,3
9/22/14,28 39 40 53 54,1
9/25/14,09 11 28 30 41,4
9/29/14,19 36 37 43 50,1
10/2/14,23 34 35 44 52,1
10/6/14,16 30 37 52 55,3
10/9/14,23 26 32 50 57,4
10/13/14,10 13 49 54 57,4
10/16/14,12 13 20 28 45,4
10/20/14,08 16 43 52 59,3
10/23/14,09 22 24 36 54,1
10/27/14,06 09 28 40 41,1
10/30/14,19 22 29 38 53,1
11/3/14,03 27 28 49 52,4
11/6/14,03 07 14 20 32,3
11/10/14,07 21 30 53 55,2
11/13/14,07 08 16 49 56,4
11/17/14,08 23 37 38 58,1
11/20/14,02 40 46 59 60,2
11/24/14,08 25 26 33 56,1
11/27/14,09 30 43 51 55,3
12/1/14,04 07 33 50 55,1
12/4/14,01 15 21 41 60,4
12/8/14,04 11 14 46 59,4
12/11/14,12 22 27 35 49,4
12/15/14,08 22 31 38 40,3
12/18/14,20 22 26 27 43,2
12/22/14,03 17 30 50 55,3
12/25/14,05 14 22 37 60,2
12/29/14,08 09 35 37 41,4
1/1/15,13 19 20 21 35,2
1/5/15,12 23 29 38 43,3
1/8/15,16 28 38 43 45,3
1/12/15,01 05 11 39 47,1
1/15/15,12 15 22 25 27,3
1/19/15,18 29 47 52 53,3
1/22/15,08 11 35 47 60,2
1/26/15,01 20 24 46 57,1
1/29/15,08 24 28 57 60,2
2/2/15,04 08 17 20 21,4
2/5/15,14 17 38 40 45,2
2/9/15,09 17 36 38 53,4
2/12/15,06 11 32 56 60,2
2/16/15,06 26 35 40 43,2
2/19/15,18 43 51 52 60,4
2/23/15,01 14 20 21 43,4
2/26/15,03 16 20 38 49,3
3/2/15,08 23 27 38 47,4
3/5/15,10 22 46 47 48,4
